raw_step	delta_time	data
6	0.01	0
7	0.009	0.016897
8	0.01	0.106451
9	0.009	0.287248
10	0.01	0.471425
11	0.009	0.625188
12	0.01	0.851607
13	0.009	1.06451
14	0.009	1.25038
15	0.01	1.44469
16	0.009	1.63901
17	0.01	1.79446
18	0.009	1.94315
19	0.01	2.12902
20	0.009	2.2304
21	0.01	2.31151
22	0.009	2.38247
23	0.009	2.41627
24	0.01	2.46358
25	0.009	2.46696
26	0.01	2.46358
27	0.009	2.45006
28	0.01	2.43316
29	0.009	2.43316
30	0.01	2.41796
31	0.009	2.39937
32	0.009	2.39937
33	0.01	2.38754
34	0.009	2.38247
35	0.01	2.37233
36	0.009	2.31488
37	0.01	2.2963
38	0.009	2.26419
39	0.01	2.23547
40	0.009	2.2304
41	0.009	2.19661
42	0.01	2.20505
43	0.009	2.16281
44	0.01	2.17464
45	0.009	2.14592
46	0.01	2.12902
47	0.009	2.14592
48	0.01	2.11381
49	0.009	2.14592
50	0.01	2.11381
51	0.009	2.09522
52	0.009	2.12902
53	0.01	2.12902
54	0.009	2.17971
55	0.01	2.22026
56	0.009	2.2304
57	0.01	2.25068
58	0.009	2.28109
59	0.01	2.26588
60	0.009	2.28109
61	0.01	2.28109
62	0.009	2.28109
63	0.009	2.29799
64	0.01	2.28109
65	0.009	2.28109
66	0.01	2.25068
67	0.009	2.26419
68	0.01	2.28109
69	0.009	2.26419
70	0.01	2.25068
71	0.009	2.26419
72	0.009	2.2304
73	0.01	2.26588
74	0.009	2.2473
75	0.01	2.23547
76	0.009	2.2473
77	0.01	2.23547
78	0.009	2.26419
79	0.01	2.26588
80	0.009	2.2473
81	0.009	2.2473
82	0.01	2.25068
83	0.009	2.2304
84	0.01	2.25068
85	0.009	2.2473
86	0.01	2.25068
87	0.009	2.26419
88	0.01	2.26588
89	0.009	2.2473
90	0.009	2.26419
91	0.01	2.23547
92	0.009	2.26419
93	0.01	2.26588
94	0.009	2.2135
95	0.01	2.25068
96	0.009	2.26419
97	0.01	2.23547
98	0.009	2.2473
99	0.009	2.2473
100	0.01	2.23547
101	0.009	2.2473
102	0.01	2.25068
103	0.009	2.2473
104	0.01	2.23547
105	0.009	2.2473
106	0.01	2.23547
107	0.009	2.2304
108	0.01	2.25068
109	0.009	2.2473
110	0.009	2.26419
111	0.01	2.25068
112	0.009	2.2473
113	0.01	2.25068
114	0.009	2.26419
115	0.01	2.26588
116	0.009	2.2473
117	0.01	2.25068
118	0.009	2.26419
119	0.009	2.28109
120	0.01	2.25068
121	0.009	2.2304
122	0.01	2.28109
123	0.009	2.2473
124	0.01	2.23547
125	0.009	2.2473
126	0.01	2.25068
127	0.009	2.26419
128	0.009	2.2473
129	0.01	2.23547
130	0.009	2.2304
131	0.01	2.26588
132	0.009	2.2304
133	0.01	2.26588
134	0.009	2.2473
135	0.01	2.25068
136	0.009	2.26419
137	0.01	2.25068
138	0.009	2.2473
139	0.009	2.2473
140	0.01	2.25068
141	0.009	2.2473
142	0.01	2.23547
143	0.009	2.26419
144	0.01	2.25068
145	0.009	2.2304
146	0.01	2.25068
147	0.009	2.2473
148	0.01	2.25068
149	0.009	2.26419
150	0.009	2.2473
151	0.01	2.25068
152	0.009	2.26419
153	0.01	2.25068
154	0.009	1.96005
155	0.01	1.47511
156	0.009	0.473115
157	0.009	-0.016897
158	0.01	-0.152073
159	0.009	-0.152073
160	0.01	-0.152073
161	0.009	-0.16897
162	0.01	-0.152073
163	0.009	-0.135176
164	0.01	-0.136865
165	0.009	-0.101382
166	0.01	-0.0912436
167	0.009	-0.0675879
168	0.009	-0.016897
169	0.01	0.0152073
170	0.009	0.0337939
171	0.01	0.0456218
172	0.009	0.0506909
173	0.01	0.0456218
174	0.009	0.0337939
175	0.01	0.0456218
176	0.009	0.0506909
177	0.009	0.0337939
178	0.01	0.0456218
179	0.009	0.0337939
180	0.01	0.0152073
181	0.009	0.016897
182	0.01	0.0152073
183	0.009	0
184	0.01	-0.0152073
185	0.009	0
186	0.009	-0.016897
187	0.01	-0.0152073
188	0.009	0
189	0.01	-0.0152073
190	0.009	-0.016897
191	0.01	-0.0152073
192	0.009	-0.016897
193	0.01	0
194	0.009	-0.016897
195	0.01	0
196	0.009	0
197	0.009	0.016897
198	0.01	0
199	0.009	0.016897
200	0.01	0
201	0.009	0.016897
202	0.01	0.0152073
203	0.009	0
204	0.01	0.0152073
205	0.009	0.016897
206	0.009	0.016897
207	0.01	0.0152073
208	0.009	0
209	0.01	0
210	0.009	0.016897
211	0.01	0
212	0.009	-0.016897
213	0.01	0
214	0.009	0
215	0.01	0
216	0.009	-0.016897
217	0.009	0
218	0.01	0
219	0.009	-0.016897
220	0.01	0
221	0.009	-0.016897
222	0.01	0
223	0.009	0
224	0.01	-0.0152073
225	0.009	0
226	0.009	0
227	0.01	-0.0152073
228	0.009	0
229	0.01	0.0152073
230	0.009	0
231	0.01	0
232	0.009	0
233	0.01	0
234	0.009	0.016897
235	0.009	0
236	0.01	0
237	0.009	0.016897
238	0.01	0
239	0.009	0
240	0.01	0
241	0.009	0.016897
242	0.146	-0.00104159
243	0.009	0
244	0.01	0
245	0.009	0
