raw_step	delta_time	data
7	0.01	0
8	0.009	0.0506516
9	0.009	0.253258
10	0.01	0.531842
11	0.009	0.810426
12	0.01	1.03329
13	0.009	1.23252
14	0.01	1.44357
15	0.009	1.62085
16	0.01	1.80826
17	0.009	1.95853
18	0.01	2.09698
19	0.009	2.22867
20	0.009	2.29621
21	0.01	2.3705
22	0.009	2.41439
23	0.01	2.43128
24	0.009	2.44816
25	0.01	2.46167
26	0.009	2.44816
27	0.01	2.43128
28	0.009	2.43128
29	0.009	2.41439
30	0.01	2.41608
31	0.009	2.41439
32	0.01	2.40089
33	0.009	2.39751
34	0.01	2.38569
35	0.009	2.38063
36	0.011	2.34839
37	0.008	2.31731
38	0.009	2.27932
39	0.01	2.24893
40	0.009	2.22867
41	0.01	2.21854
42	0.009	2.1949
43	0.01	2.18815
44	0.009	2.17802
45	0.01	2.17296
46	0.009	2.16114
47	0.01	2.14256
48	0.009	2.14425
49	0.009	2.14425
50	0.01	2.12737
51	0.009	2.12737
52	0.01	2.11217
53	0.009	2.11048
54	0.01	2.11217
55	0.009	2.0936
56	0.01	2.09698
57	0.009	2.14425
58	0.009	2.17802
59	0.01	2.20335
60	0.009	2.22867
61	0.01	2.23374
62	0.009	2.26244
63	0.01	2.26413
64	0.009	2.29621
65	0.01	2.27932
66	0.009	2.29621
67	0.009	2.29621
68	0.01	2.29452
69	0.009	2.29621
70	0.01	2.29452
71	0.009	2.29621
72	0.01	2.27932
73	0.009	2.27932
74	0.01	2.27932
75	0.009	2.26244
76	0.01	2.26413
77	0.009	2.26244
78	0.009	2.26244
79	0.01	2.26413
80	0.009	2.24556
81	0.01	2.24893
82	0.009	2.24556
83	0.01	2.24893
84	0.009	2.22867
85	0.01	2.23374
86	0.009	2.22867
87	0.009	2.22867
88	0.01	2.21854
89	0.009	2.22867
90	0.01	2.20335
91	0.009	2.22867
92	0.01	2.20335
93	0.009	2.22867
94	0.01	2.21854
95	0.009	2.21179
96	0.009	2.24556
97	0.01	2.23374
98	0.009	2.22867
99	0.01	2.23374
100	0.009	2.24556
101	0.01	2.24893
102	0.009	2.26244
103	0.01	2.26413
104	0.009	2.24556
105	0.01	2.26413
106	0.009	2.24556
107	0.009	2.26244
108	0.01	2.23374
109	0.009	2.26244
110	0.01	2.23374
111	0.009	2.26244
112	0.01	2.23374
113	0.009	2.24556
114	0.01	2.23374
115	0.009	2.22867
116	0.009	2.22867
117	0.01	2.23374
118	0.009	2.22867
119	0.01	2.23374
120	0.009	2.24556
121	0.01	2.23374
122	0.009	2.22867
123	0.01	2.24893
124	0.009	2.24556
125	0.009	2.24556
126	0.01	2.24893
127	0.01	2.24893
128	0.009	2.24556
129	0.009	2.24556
130	0.01	2.24893
131	0.009	2.24556
132	0.01	2.24893
133	0.009	2.24556
134	0.009	2.26244
135	0.01	2.24893
136	0.009	2.26244
137	0.01	2.23374
138	0.009	2.26244
139	0.01	2.24893
140	0.009	2.26244
141	0.01	2.24893
142	0.009	2.26244
143	0.01	2.24893
144	0.009	2.24556
145	0.009	2.24556
146	0.01	2.24893
147	0.009	2.24556
148	0.01	2.23374
149	0.009	2.24556
150	0.01	2.24893
151	0.009	2.22867
152	0.01	2.23374
153	0.009	2.24556
154	0.009	2.1949
155	0.01	1.56514
156	0.009	0.557168
157	0.01	0.0911729
158	0.009	-0
159	0.01	-0.0455865
160	0.009	-0.0675355
161	0.01	-0.0911729
162	0.009	-0.0844194
163	0.01	-0.0759775
164	0.009	-0.0675355
165	0.009	-0.0506516
166	0.01	-0.060782
167	0.009	-0.0506516
168	0.01	-0.0455865
169	0.009	-0.0337678
170	0.01	-0.030391
171	0.009	-0.0337678
172	0.01	-0.0151955
173	0.009	-0.0168839
174	0.009	-0.0168839
175	0.01	-0.0151955
176	0.009	-0.0168839
177	0.01	-0.0151955
178	0.009	-0
179	0.01	-0.0151955
180	0.009	-0
181	0.01	-0.0151955
182	0.009	-0.0168839
183	0.009	-0.0168839
184	0.01	-0.0151955
185	0.009	-0.0337678
186	0.01	-0.0151955
187	0.009	-0.0168839
188	0.01	-0.030391
189	0.009	-0.0168839
190	0.01	-0.030391
191	0.009	-0.0168839
192	0.01	-0.0151955
193	0.009	-0
194	0.009	-0.0168839
195	0.01	-0
196	0.009	-0
197	0.01	-0
198	0.009	-0
199	0.01	0.0151955
200	0.009	0.0168839
201	0.01	0.0151955
202	0.009	0.0168839
203	0.009	0.0337678
204	0.01	0.0151955
205	0.009	0.0337678
206	0.01	0.030391
207	0.009	0.0337678
208	0.01	0.030391
209	0.009	0.0337678
210	0.01	0.030391
211	0.009	0.0337678
212	0.009	0.0168839
213	0.01	0.030391
214	0.009	0.0337678
215	0.01	0.030391
216	0.009	0.0168839
217	0.01	0.0151955
218	0.009	0.0168839
219	0.01	0.0151955
220	0.009	0.0168839
221	0.01	-0
222	0.009	-0
223	0.009	0.0168839
224	0.01	-0.0151955
225	0.009	-0
226	0.01	-0
227	0.009	-0
228	0.01	-0
229	0.009	-0.0168839
230	0.01	-0
231	0.009	-0
232	0.009	0.0168839
233	0.01	-0
234	0.009	-0
235	0.01	-0
236	0.009	-0
237	0.01	0.0151955
238	0.009	-0
239	0.01	-0
240	0.009	-0
241	0.009	0.0168839
242	0.01	-0
243	0.009	-0
244	0.01	-0
245	0.01	0.0151955
