step,delta_time,data
0,0.01,0
1,0.009,0.0506516
2,0.009,0.253258
3,0.01,0.531842
4,0.009,0.810426
5,0.01,1.03329
6,0.009,1.23252
7,0.01,1.44357
8,0.009,1.62085
9,0.01,1.80826
10,0.009,1.95853
11,0.01,2.09698
12,0.009,2.22867
13,0.009,2.29621
14,0.01,2.3705
15,0.009,2.41439
16,0.01,2.43128
17,0.009,2.44816
18,0.01,2.46167
19,0.009,2.44816
20,0.01,2.43128
21,0.009,2.43128
22,0.009,2.41439
23,0.01,2.41608
24,0.009,2.41439
25,0.01,2.40089
26,0.009,2.39751
27,0.01,2.38569
28,0.009,2.38063
29,0.011,2.34839
30,0.008,2.31731
31,0.009,2.27932
32,0.01,2.24893
33,0.009,2.22867
34,0.01,2.21854
35,0.009,2.1949
36,0.01,2.18815
37,0.009,2.17802
38,0.01,2.17296
39,0.009,2.16114
40,0.01,2.14256
41,0.009,2.14425
42,0.009,2.14425
43,0.01,2.12737
44,0.009,2.12737
45,0.01,2.11217
46,0.009,2.11048
47,0.01,2.11217
48,0.009,2.0936
49,0.01,2.09698
50,0.009,2.14425
51,0.009,2.17802
52,0.01,2.20335
53,0.009,2.22867
54,0.01,2.23374
55,0.009,2.26244
56,0.01,2.26413
57,0.009,2.29621
58,0.01,2.27932
59,0.009,2.29621
60,0.009,2.29621
61,0.01,2.29452
62,0.009,2.29621
63,0.01,2.29452
64,0.009,2.29621
65,0.01,2.27932
66,0.009,2.27932
67,0.01,2.27932
68,0.009,2.26244
69,0.01,2.26413
70,0.009,2.26244
71,0.009,2.26244
72,0.01,2.26413
73,0.009,2.24556
74,0.01,2.24893
75,0.009,2.24556
76,0.01,2.24893
77,0.009,2.22867
78,0.01,2.23374
79,0.009,2.22867
80,0.009,2.22867
81,0.01,2.21854
82,0.009,2.22867
83,0.01,2.20335
84,0.009,2.22867
85,0.01,2.20335
86,0.009,2.22867
87,0.01,2.21854
88,0.009,2.21179
89,0.009,2.24556
90,0.01,2.23374
91,0.009,2.22867
92,0.01,2.23374
93,0.009,2.24556
94,0.01,2.24893
95,0.009,2.26244
96,0.01,2.26413
97,0.009,2.24556
98,0.01,2.26413
99,0.009,2.24556
100,0.009,2.26244
101,0.01,2.23374
102,0.009,2.26244
103,0.01,2.23374
104,0.009,2.26244
105,0.01,2.23374
106,0.009,2.24556
107,0.01,2.23374
108,0.009,2.22867
109,0.009,2.22867
110,0.01,2.23374
111,0.009,2.22867
112,0.01,2.23374
113,0.009,2.24556
114,0.01,2.23374
115,0.009,2.22867
116,0.01,2.24893
117,0.009,2.24556
118,0.009,2.24556
119,0.01,2.24893
120,0.01,2.24893
121,0.009,2.24556
122,0.009,2.24556
123,0.01,2.24893
124,0.009,2.24556
125,0.01,2.24893
126,0.009,2.24556
127,0.009,2.26244
128,0.01,2.24893
129,0.009,2.26244
130,0.01,2.23374
131,0.009,2.26244
132,0.01,2.24893
133,0.009,2.26244
134,0.01,2.24893
135,0.009,2.26244
136,0.01,2.24893
137,0.009,2.24556
138,0.009,2.24556
139,0.01,2.24893
140,0.009,2.24556
141,0.01,2.23374
142,0.009,2.24556
143,0.01,2.24893
144,0.009,2.22867
145,0.01,2.23374
146,0.009,2.24556
147,0.009,2.1949
148,0.01,1.56514
149,0.009,0.557168
150,0.01,0.0911729
151,0.009,0
152,0.01,-0.0455865
153,0.009,-0.0675355
154,0.01,-0.0911729
155,0.009,-0.0844194
156,0.01,-0.0759775
157,0.009,-0.0675355
158,0.009,-0.0506516
159,0.01,-0.060782
160,0.009,-0.0506516
161,0.01,-0.0455865
162,0.009,-0.0337678
163,0.01,-0.030391
164,0.009,-0.0337678
165,0.01,-0.0151955
166,0.009,-0.0168839
167,0.009,-0.0168839
168,0.01,-0.0151955
169,0.009,-0.0168839
170,0.01,-0.0151955
171,0.009,0
172,0.01,-0.0151955
173,0.009,0
174,0.01,-0.0151955
175,0.009,-0.0168839
176,0.009,-0.0168839
177,0.01,-0.0151955
178,0.009,-0.0337678
179,0.01,-0.0151955
180,0.009,-0.0168839
181,0.01,-0.030391
182,0.009,-0.0168839
183,0.01,-0.030391
184,0.009,-0.0168839
185,0.01,-0.0151955
186,0.009,0
187,0.009,-0.0168839
188,0.01,0
189,0.009,0
190,0.01,0
191,0.009,0
192,0.01,0.0151955
193,0.009,0.0168839
194,0.01,0.0151955
195,0.009,0.0168839
196,0.009,0.0337678
197,0.01,0.0151955
198,0.009,0.0337678
199,0.01,0.030391
200,0.009,0.0337678
201,0.01,0.030391
202,0.009,0.0337678
203,0.01,0.030391
204,0.009,0.0337678
205,0.009,0.0168839
206,0.01,0.030391
207,0.009,0.0337678
208,0.01,0.030391
209,0.009,0.0168839
210,0.01,0.0151955
211,0.009,0.0168839
212,0.01,0.0151955
213,0.009,0.0168839
214,0.01,0
215,0.009,0
216,0.009,0.0168839
217,0.01,-0.0151955
218,0.009,0
219,0.01,0
220,0.009,0
221,0.01,0
222,0.009,-0.0168839
223,0.01,0
224,0.009,0
225,0.009,0.0168839
226,0.01,0
227,0.009,0
228,0.01,0
229,0.009,0
230,0.01,0.0151955
231,0.009,0
232,0.01,0
233,0.009,0
234,0.009,0.0168839
235,0.01,0
236,0.009,0
237,0.01,0
238,0.01,0.0151955
